$Date,$Time,TEMPERATURA,SETPOINT,SALIDACONTROL,CAUDAL_FILTRADO,CAUDAL
03/13/17,19:22:08,36.85,35,20,653.0604,654
03/13/17,19:22:09,36.85,35,20,653.0233,655
03/13/17,19:22:10,36.87,35,20,651.9969,643
03/13/17,19:22:11,36.72,35,20,651.3223,649
03/13/17,19:22:12,36.65,35,20,650.6395,657
03/13/17,19:22:13,36.59,35,20,650.6939,647
03/13/17,19:22:14,36.56,35,20,650.3569,658
03/13/17,19:22:15,36.52,35,20,650.6142,650
03/13/17,19:22:16,36.48,35,20,651.082,650
03/13/17,19:22:17,36.47,35,20,651.8047,659
03/13/17,19:22:18,36.44,35,20,652.1031,658
03/13/17,19:22:19,36.29,35,20,651.8317,649
03/13/17,19:22:20,36.25,35,20,652.7573,663
03/13/17,19:22:21,36.22,35,20,653.382,650
03/13/17,19:22:22,36.13,35,20,653.6754,654
03/13/17,19:22:23,36.06,35,20,653.3276,655
03/13/17,19:22:24,36.05,35,20,653.1354,652
03/13/17,19:22:25,36.02,35,20,652.914,656
03/13/17,19:22:26,35.94,35,20,652.3086,642
03/13/17,19:22:27,35.86,35,20,651.5721,649
03/13/17,19:22:28,35.78,35,20,650.9319,648
03/13/17,19:22:29,35.75,35,20,650.67,652
03/13/17,19:22:30,35.81,35,20,650.4669,660
03/13/17,19:22:31,35.7,35,20,651.5203,657
03/13/17,19:22:32,35.68,35,20,652.8381,658
03/13/17,19:22:33,35.57,35,20,651.0607,636
03/13/17,19:22:34,35.55,35,20,650.0944,649
03/13/17,19:22:35,35.39,35,20,650.2052,645
03/13/17,19:22:36,35.36,35,20,650.6232,649
03/13/17,19:22:37,35.32,35,20,651.5111,661
03/13/17,19:22:38,35.32,35,20,652.2838,652
03/13/17,19:22:39,35.29,35,20,653.2607,666
03/13/17,19:22:40,35.2,35,20,653.8948,647
03/13/17,19:22:41,35.21,35,20,653.3729,648
03/13/17,19:22:42,35.15,35,20,651.7973,649
03/13/17,19:22:43,35.15,35,20,651.8613,651
03/13/17,19:22:44,35.1,35,20,652.3179,662
03/13/17,19:22:45,35.05,35,20,653.2246,655
03/13/17,19:22:46,35.02,35,20,655.3656,668
03/13/17,19:22:47,34.92,35,20,656.6691,660
03/13/17,19:22:48,34.91,35,20,657.4341,655
03/13/17,19:22:49,34.82,35,20,656.463,658
03/13/17,19:22:50,34.84,35,20,655.1514,642
03/13/17,19:22:51,34.69,35,20,653.544,648
03/13/17,19:22:52,34.63,35,20,652.474,647
03/13/17,19:22:53,34.6,35,20,651.7705,642
03/13/17,19:22:54,34.6,35,20,649.893,648
03/13/17,19:22:55,34.5,35,20,648.3217,636
03/13/17,19:22:56,34.5,35,20,648.2996,660
03/13/17,19:22:57,34.47,35,20,649.3294,648
03/13/17,19:22:58,34.51,35,20,650.8179,660
03/13/17,19:22:59,34.41,35,20,652.5955,661
03/13/17,19:23:00,34.36,35,20,653.6515,657
03/13/17,19:23:01,34.23,35,20,654.9013,668
03/13/17,19:23:02,34.22,35,20,655.8928,655
03/13/17,19:23:03,34.17,35,20,657.6206,668
03/13/17,19:23:04,34.15,35,20,658.4332,658
03/13/17,19:23:05,34.11,35,20,657.6975,650
03/13/17,19:23:06,34.16,35,20,657.0113,666
03/13/17,19:23:07,34.02,35,20,657.2952,649
03/13/17,19:23:08,33.93,35,20,656.2947,652
03/13/17,19:23:09,33.84,35,20,654.0945,638
03/13/17,19:23:10,33.9,35,20,652.5432,648
03/13/17,19:23:11,33.81,35,20,652.9007,651
03/13/17,19:23:12,33.77,35,20,653.0612,650
03/13/17,19:23:13,33.76,35,20,653.6935,657
03/13/17,19:23:14,33.79,35,20,652.9867,641
03/13/17,19:23:15,33.7,35,20,652.0436,653
03/13/17,19:23:16,33.7,35,20,650.8599,641
03/13/17,19:23:17,33.64,35,20,650.7593,652
03/13/17,19:23:18,33.67,35,20,651.3591,658
03/13/17,19:23:19,33.51,35,20,652.5789,657
03/13/17,19:23:20,33.51,35,20,655.0624,676
03/13/17,19:23:21,33.45,35,20,657.3717,662
03/13/17,19:23:22,33.44,35,20,658.2097,657
03/13/17,19:23:23,33.37,35,20,657.0918,647
03/13/17,19:23:24,33.26,35,20,654.5683,640
03/13/17,19:23:25,33.27,35,20,653.158,656
03/13/17,19:23:26,33.31,35,20,652.6968,650
03/13/17,19:23:27,33.25,35,20,653.9277,667
03/13/17,19:23:28,33.2,35,20,654.9554,653
03/13/17,19:23:29,33.21,35,20,655.9213,663
03/13/17,19:23:30,33.26,35,20,657.4803,671
03/13/17,19:23:31,33.18,35,20,659.2474,660
03/13/17,19:23:32,33.12,35,20,658.2857,653
03/13/17,19:23:33,33.02,35,20,655.454,633
03/13/17,19:23:34,32.94,35,20,652.6721,642
03/13/17,19:23:35,32.88,35,20,650.8887,649
03/13/17,19:23:36,32.86,35,20,651.4448,651
03/13/17,19:23:37,32.84,35,20,651.7481,661
